Samples,Pops,Long,Lat,wc2.1_30s_bio_1,TwaQ,wc2.1_30s_bio_11,wc2.1_30s_bio_12,PWQ,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,ISO,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,TweQ,wc2.1_30s_bio_9
lc2-6,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-7,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-8,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-9,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc3-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc4-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc5-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc6-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc7-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc8-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
dvr11,DVR,-100.99277,29.88751,19.9500007629395,28.5666675567627,10.3499994277954,484,72,15,47.0074577331543,185,55,155,57,13.6000003814697,40.718563079834,742.988464355469,35.4000015258789,2,33.4000015258789,25.3166656494141,11.3333330154419
dvr14,DVR,-100.99277,29.88751,19.9500007629395,28.5666675567627,10.3499994277954,484,72,15,47.0074577331543,185,55,155,57,13.6000003814697,40.718563079834,742.988464355469,35.4000015258789,2,33.4000015258789,25.3166656494141,11.3333330154419
dvr17,DVR,-100.99423,29.87204,20.029167175293,28.6333332061768,10.4499998092651,484,72,15,46.8600692749023,184,55,154,57,13.6083335876465,40.7435111999512,741.7958984375,35.5,2.09999990463257,33.4000015258789,25.3833332061768,11.4333333969116
dvr19,DVR,-100.9936,29.8702,20.029167175293,28.6333332061768,10.4499998092651,484,72,15,46.8600692749023,184,55,154,57,13.6083335876465,40.7435111999512,741.7958984375,35.5,2.09999990463257,33.4000015258789,25.3833332061768,11.4333333969116
